Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
63        | 7ff7c864b430h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[16i](16i~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
64        | 7ff7c864b450h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[32u](32u~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
65        | 7ff7c864b470h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[32i](32i~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
66        | 7ff7c864b490h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[64u](64u~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
67        | 7ff7c864b4b0h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[64i](64i~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
68        | 7ff7c864b4d0h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[32f](32f~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
69        | 7ff7c864b4f0h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[64f](64f~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
70        | 7ff7c864b510h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[8u](8u~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
71        | 7ff7c864b530h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[8i](8i~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
72        | 7ff7c864b550h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[16u](16u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
73        | 7ff7c864b570h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[16i](16i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
74        | 7ff7c864b590h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[32u](32u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
75        | 7ff7c864b5b0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[32i](32i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
76        | 7ff7c864b5d0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[64u](64u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
77        | 7ff7c864b5f0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[64i](64i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
78        | 7ff7c864b610h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[32f](32f~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
79        | 7ff7c864b630h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek16#seek16_g[64f](64f~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
80        | 7ff7c864b650h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[8u](8u~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
81        | 7ff7c864b670h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[8i](8i~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
82        | 7ff7c864b690h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[16u](16u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
83        | 7ff7c864b6b0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[16i](16i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
84        | 7ff7c864b6d0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[32u](32u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
85        | 7ff7c864b6f0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[32i](32i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
86        | 7ff7c864b710h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[64u](64u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
87        | 7ff7c864b730h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[64i](64i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
88        | 7ff7c864b750h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[32f](32f~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
