Offset      | Gap     | Origin                          | Size    | Uri
00003800h   | 19      | 7ff7c6ccc220h : 7ff7c6ccc22fh   | 15      | gmath/math/sll_64i
00003820h   | 17      | 7ff7c6ccc240h : 7ff7c6ccc24fh   | 15      | gmath/math/sll_64u
00003840h   | 17      | 7ff7c6ccc260h : 7ff7c6ccc273h   | 19      | gmath/math/srl_8i
00003870h   | 29      | 7ff7c6ccc290h : 7ff7c6ccc2a1h   | 17      | gmath/math/srl_8u
000038a0h   | 31      | 7ff7c6ccc2c0h : 7ff7c6ccc2d3h   | 19      | gmath/math/srl_16i
000038d0h   | 29      | 7ff7c6ccc2f0h : 7ff7c6ccc301h   | 17      | gmath/math/srl_16u
00003900h   | 31      | 7ff7c6ccc320h : 7ff7c6ccc32dh   | 13      | gmath/math/srl_32i
00003920h   | 19      | 7ff7c6ccc340h : 7ff7c6ccc34dh   | 13      | gmath/math/srl_32u
00003940h   | 19      | 7ff7c6ccc360h : 7ff7c6ccc36fh   | 15      | gmath/math/srl_64i
00003960h   | 17      | 7ff7c6ccc380h : 7ff7c6ccc38fh   | 15      | gmath/math/srl_64u
00003980h   | 17      | 7ff7c6ccc3a0h : 7ff7c6ccc3adh   | 13      | gmath/math/srl32i_32i
000039a0h   | 19      | 7ff7c6ccc3c0h : 7ff7c6ccc3cdh   | 13      | gmath/math/srl32u_32u
000039c0h   | 19      | 7ff7c6ccc3e0h : 7ff7c6ccc3efh   | 15      | gmath/math/srl64i_64i
000039e0h   | 17      | 7ff7c6ccc400h : 7ff7c6ccc40fh   | 15      | gmath/math/srl64u_64u
00003a00h   | 17      | 7ff7c6ccc420h : 7ff7c6ccc448h   | 40      | gmath/math/xors_8u
00003a40h   | 24      | 7ff7c6ccc460h : 7ff7c6ccc490h   | 48      | gmath/math/xors_8i
00003a80h   | 16      | 7ff7c6ccc4a0h : 7ff7c6ccc4c8h   | 40      | gmath/math/xors_16u
00003ac0h   | 24      | 7ff7c6ccc4e0h : 7ff7c6ccc510h   | 48      | gmath/math/xors_16i
00003b00h   | 16      | 7ff7c6ccc520h : 7ff7c6ccc544h   | 36      | gmath/math/xors_32u
00003b40h   | 28      | 7ff7c6ccc560h : 7ff7c6ccc584h   | 36      | gmath/math/xors_32i
00003b80h   | 28      | 7ff7c6ccc5a0h : 7ff7c6ccc5c5h   | 37      | gmath/math/xors_64i
00003bc0h   | 27      | 7ff7c6ccc5e0h : 7ff7c6ccc605h   | 37      | gmath/math/xors_64u
00003c00h   | 27      | 7ff7c6ccc620h : 7ff7c6ccc635h   | 21      | gmath/math/xorsl_8u
00003c30h   | 27      | 7ff7c6ccc650h : 7ff7c6ccc667h   | 23      | gmath/math/xorsl_8i
00003c60h   | 25      | 7ff7c6ccc680h : 7ff7c6ccc695h   | 21      | gmath/math/xorsl_16u
00003c90h   | 27      | 7ff7c6ccc6b0h : 7ff7c6ccc6c7h   | 23      | gmath/math/xorsl_16i
00003cc0h   | 25      | 7ff7c6ccc6e0h : 7ff7c6ccc6f1h   | 17      | gmath/math/xorsl_32i
00003cf0h   | 31      | 7ff7c6ccc710h : 7ff7c6ccc721h   | 17      | gmath/math/xorsl_32u
00003d20h   | 31      | 7ff7c6ccc740h : 7ff7c6ccc755h   | 21      | gmath/math/xorsl_64i
00003d50h   | 27      | 7ff7c6ccc770h : 7ff7c6ccc785h   | 21      | gmath/math/xorsl_64u
00003d80h   | 27      | 7ff7c6ccc7a0h : 7ff7c6ccc7b5h   | 21      | gmath/math/xorsr_8u
00003db0h   | 27      | 7ff7c6ccc7d0h : 7ff7c6ccc7e7h   | 23      | gmath/math/xorsr_8i
00003de0h   | 25      | 7ff7c6ccc800h : 7ff7c6ccc817h   | 23      | gmath/math/xorsr_16i
00003e10h   | 25      | 7ff7c6ccc830h : 7ff7c6ccc845h   | 21      | gmath/math/xorsr_16u
00003e40h   | 27      | 7ff7c6ccc860h : 7ff7c6ccc871h   | 17      | gmath/math/xorsr_32i
00003e70h   | 31      | 7ff7c6ccc890h : 7ff7c6ccc8a1h   | 17      | gmath/math/xorsr_32u
00003ea0h   | 31      | 7ff7c6ccc8c0h : 7ff7c6ccc8d5h   | 21      | gmath/math/xorsr_64i
00003ed0h   | 27      | 7ff7c6ccc8f0h : 7ff7c6ccc905h   | 21      | gmath/math/xorsr_64u
00003f00h   | 27      | 7ff7c6ccc920h : 7ff7c6ccc946h   | 38      | gmath/math/between_8u
00003f40h   | 26      | 7ff7c6ccc960h : 7ff7c6ccc989h   | 41      | gmath/math/between_8i
00003f80h   | 23      | 7ff7c6ccc9a0h : 7ff7c6ccc9c9h   | 41      | gmath/math/between_16i
00003fc0h   | 23      | 7ff7c6ccc9e0h : 7ff7c6ccca06h   | 38      | gmath/math/between_16u
00004000h   | 26      | 7ff7c6ccca20h : 7ff7c6ccca3ah   | 26      | gmath/math/between_32i
00004030h   | 22      | 7ff7c6ccca50h : 7ff7c6ccca6ah   | 26      | gmath/math/between_32u
00004060h   | 22      | 7ff7c6ccca80h : 7ff7c6ccca9bh   | 27      | gmath/math/between_64i
00004090h   | 21      | 7ff7c6cccab0h : 7ff7c6cccacbh   | 27      | gmath/math/between_64u
000040c0h   | 21      | 7ff7c6cccae0h : 7ff7c6cccaf6h   | 22      | gmath/math/eq_8i
000040f0h   | 26      | 7ff7c6cccb10h : 7ff7c6cccb24h   | 20      | gmath/math/eq_8u
00004120h   | 28      | 7ff7c6cccb40h : 7ff7c6cccb56h   | 22      | gmath/math/eq_16i
00004150h   | 26      | 7ff7c6cccb70h : 7ff7c6cccb84h   | 20      | gmath/math/eq_16u
00004180h   | 28      | 7ff7c6cccba0h : 7ff7c6cccbaeh   | 14      | gmath/math/eq_32i
000041a0h   | 18      | 7ff7c6cccbc0h : 7ff7c6cccbceh   | 14      | gmath/math/eq_32u
000041c0h   | 18      | 7ff7c6cccbe0h : 7ff7c6cccbefh   | 15      | gmath/math/eq_64i
000041e0h   | 17      | 7ff7c6cccc00h : 7ff7c6cccc0fh   | 15      | gmath/math/eq_64u
00004200h   | 17      | 7ff7c6cccc20h : 7ff7c6cccc48h   | 40      | gmath/math/modmul_16i
00004290h   | 104     | 7ff7c6ccccb0h : 7ff7c6ccccceh   | 30      | gmath/math/modmul_16u
000042c0h   | 18      | 7ff7c6cccce0h : 7ff7c6ccccfah   | 26      | gmath/math/modmul_32i
000042f0h   | 22      | 7ff7c6cccd10h : 7ff7c6cccd28h   | 24      | gmath/math/modmul_32u
00004320h   | 24      | 7ff7c6cccd40h : 7ff7c6cccd55h   | 21      | gmath/math/modmul_64i
00004350h   | 27      | 7ff7c6cccd70h : 7ff7c6cccd85h   | 21      | gmath/math/modmul_64u
00004380h   | 27      | 7ff7c6cccda0h : 7ff7c6cccdbah   | 26      | gmath/math/modmul_32f
000043b0h   | 22      | 7ff7c6cccdd0h : 7ff7c6cccdeah   | 26      | gmath/math/modmul_64f
000043e0h   | 22      | 7ff7c6ccce00h : 7ff7c6ccce28h   | 40      | gmath/math/modmul_8i
00004420h   | 24      | 7ff7c6ccce40h : 7ff7c6ccce5eh   | 30      | gmath/math/modmul_8u
00004450h   | 18      | 7ff7c6ccce70h : 7ff7c6ccce85h   | 21      | gmath/math/mul_8i
00004480h   | 27      | 7ff7c6cccea0h : 7ff7c6ccceb2h   | 18      | gmath/math/mul_8u
000044b0h   | 30      | 7ff7c6ccced0h : 7ff7c6cccee5h   | 21      | gmath/math/mul_16i
000044e0h   | 27      | 7ff7c6cccf00h : 7ff7c6cccf12h   | 18      | gmath/math/mul_16u
00004510h   | 30      | 7ff7c6cccf30h : 7ff7c6cccf3bh   | 11      | gmath/math/mul_32i
00004530h   | 21      | 7ff7c6cccf50h : 7ff7c6cccf5bh   | 11      | gmath/math/mul_32u
00004550h   | 21      | 7ff7c6cccf70h : 7ff7c6cccf7dh   | 13      | gmath/math/mul_64i
00004570h   | 19      | 7ff7c6cccf90h : 7ff7c6cccf9dh   | 13      | gmath/math/mul_64u
00004590h   | 19      | 7ff7c6cccfb0h : 7ff7c6cccfc0h   | 16      | gmath/math/negate_8i
