Offset      | Gap     | Origin                          | Size    | Uri
000018a0h   | 23      | 7ff7c7193960h : 7ff7c7193980h   | 32      | corefunc/converter/convert64u~convert_g64u
000018e0h   | 32      | 7ff7c71939a0h : 7ff7c71939afh   | 15      | corefunc/converter/convert64u~convert_g64u
00001900h   | 17      | 7ff7c71939c0h : 7ff7c71939cdh   | 13      | corefunc/converter/convert8i~convert_g8i
00001920h   | 19      | 7ff7c71939e0h : 7ff7c71939eah   | 10      | corefunc/converter/convert8i~convert_g8i
00001940h   | 22      | 7ff7c7193a00h : 7ff7c7193a0dh   | 13      | corefunc/converter/convert8i~convert_g8i
00001960h   | 19      | 7ff7c7193a20h : 7ff7c7193a2ah   | 10      | corefunc/converter/convert8i~convert_g8i
00001980h   | 22      | 7ff7c7193a40h : 7ff7c7193a4ah   | 10      | corefunc/converter/convert8i~convert_g8i
000019a0h   | 22      | 7ff7c7193a60h : 7ff7c7193a6ah   | 10      | corefunc/converter/convert8i~convert_g8i
000019c0h   | 22      | 7ff7c7193a80h : 7ff7c7193a8dh   | 13      | corefunc/converter/convert8i~convert_g8i
000019e0h   | 19      | 7ff7c7193aa0h : 7ff7c7193aadh   | 13      | corefunc/converter/convert8i~convert_g8i
00001a00h   | 19      | 7ff7c7193ac0h : 7ff7c7193ad2h   | 18      | corefunc/converter/convert8i~convert_g8i
00001a30h   | 30      | 7ff7c7193af0h : 7ff7c7193b06h   | 22      | corefunc/converter/convert8i~convert_g8i
00001a60h   | 26      | 7ff7c7193b20h : 7ff7c7193b29h   | 9       | corefunc/converter/convert8u~convert_g8u
00001a80h   | 23      | 7ff7c7193b40h : 7ff7c7193b4dh   | 13      | corefunc/converter/convert8u~convert_g8u
00001eb0h   | 1059    | 7ff7c7193f70h : 7ff7c7193f79h   | 9       | corefunc/converter/convert8u~convert_g8u
00001ed0h   | 23      | 7ff7c7193f90h : 7ff7c7193f9dh   | 13      | corefunc/converter/convert8u~convert_g8u
00001ef0h   | 19      | 7ff7c7193fb0h : 7ff7c7193fb9h   | 9       | corefunc/converter/convert8u~convert_g8u
00001f10h   | 23      | 7ff7c7193fd0h : 7ff7c7193fd9h   | 9       | corefunc/converter/convert8u~convert_g8u
00001f30h   | 23      | 7ff7c7193ff0h : 7ff7c7193ff9h   | 9       | corefunc/converter/convert8u~convert_g8u
00001f50h   | 23      | 7ff7c7194010h : 7ff7c7194019h   | 9       | corefunc/converter/convert8u~convert_g8u
00001f70h   | 23      | 7ff7c7194030h : 7ff7c7194041h   | 17      | corefunc/converter/convert8u~convert_g8u
00001fa0h   | 31      | 7ff7c7194060h : 7ff7c7194071h   | 17      | corefunc/converter/convert8u~convert_g8u
00001fd0h   | 31      | 7ff7c7194090h : 7ff7c7194099h   | 9       | corefunc/asin/int8_g8u
00001ff0h   | 23      | 7ff7c71940b0h : 7ff7c71940b9h   | 9       | corefunc/asin/int8_g8i
00002010h   | 23      | 7ff7c71940d0h : 7ff7c71940d9h   | 9       | corefunc/asin/int8_g16u
00002030h   | 23      | 7ff7c71940f0h : 7ff7c71940f9h   | 9       | corefunc/asin/int8_g16i
00002050h   | 23      | 7ff7c7194110h : 7ff7c7194119h   | 9       | corefunc/asin/int8_g32u
00002070h   | 23      | 7ff7c7194130h : 7ff7c7194139h   | 9       | corefunc/asin/int8_g32i
00002090h   | 23      | 7ff7c7194150h : 7ff7c7194159h   | 9       | corefunc/asin/int8_g64u
000020b0h   | 23      | 7ff7c7194170h : 7ff7c7194179h   | 9       | corefunc/asin/int8_g64i
000020d0h   | 23      | 7ff7c7194190h : 7ff7c7194199h   | 9       | corefunc/asin/int8_g32f
000020f0h   | 23      | 7ff7c71941b0h : 7ff7c71941b9h   | 9       | corefunc/asin/int8_g64f
00002110h   | 23      | 7ff7c71941d0h : 7ff7c71941d9h   | 9       | corefunc/asin/uint8_g8u
00002130h   | 23      | 7ff7c71941f0h : 7ff7c71941f9h   | 9       | corefunc/asin/uint8_g8i
00002150h   | 23      | 7ff7c7194210h : 7ff7c7194219h   | 9       | corefunc/asin/uint8_g16u
00002170h   | 23      | 7ff7c7194230h : 7ff7c7194239h   | 9       | corefunc/asin/uint8_g16i
00002190h   | 23      | 7ff7c7194250h : 7ff7c7194259h   | 9       | corefunc/asin/uint8_g32u
000021b0h   | 23      | 7ff7c7194270h : 7ff7c7194279h   | 9       | corefunc/asin/uint8_g32i
000021d0h   | 23      | 7ff7c7194290h : 7ff7c7194299h   | 9       | corefunc/asin/uint8_g64u
000021f0h   | 23      | 7ff7c71942b0h : 7ff7c71942b9h   | 9       | corefunc/asin/uint8_g64i
00002210h   | 23      | 7ff7c71942d0h : 7ff7c71942d9h   | 9       | corefunc/asin/uint8_g32f
00002230h   | 23      | 7ff7c71942f0h : 7ff7c71942f9h   | 9       | corefunc/asin/uint8_g64f
00002250h   | 23      | 7ff7c7194310h : 7ff7c7194319h   | 9       | corefunc/asin/int16_g8u
00002270h   | 23      | 7ff7c7194330h : 7ff7c7194339h   | 9       | corefunc/asin/int16_g8i
000026a0h   | 1063    | 7ff7c7194760h : 7ff7c7194769h   | 9       | corefunc/asin/int16_g16u
000026c0h   | 23      | 7ff7c7194780h : 7ff7c7194789h   | 9       | corefunc/asin/int16_g16i
000026e0h   | 23      | 7ff7c71947a0h : 7ff7c71947a9h   | 9       | corefunc/asin/int16_g32u
00002700h   | 23      | 7ff7c71947c0h : 7ff7c71947c9h   | 9       | corefunc/asin/int16_g32i
00002720h   | 23      | 7ff7c71947e0h : 7ff7c71947e9h   | 9       | corefunc/asin/int16_g64u
00002740h   | 23      | 7ff7c7194800h : 7ff7c7194809h   | 9       | corefunc/asin/int16_g64i
00002760h   | 23      | 7ff7c7194820h : 7ff7c7194829h   | 9       | corefunc/asin/int16_g32f
00002780h   | 23      | 7ff7c7194840h : 7ff7c7194849h   | 9       | corefunc/asin/int16_g64f
000027a0h   | 23      | 7ff7c7194860h : 7ff7c7194869h   | 9       | corefunc/asin/uint16_g8u
000027c0h   | 23      | 7ff7c7194880h : 7ff7c7194889h   | 9       | corefunc/asin/uint16_g8i
000027e0h   | 23      | 7ff7c71948a0h : 7ff7c71948a9h   | 9       | corefunc/asin/uint16_g16u
00002800h   | 23      | 7ff7c71948c0h : 7ff7c71948c9h   | 9       | corefunc/asin/uint16_g16i
00002820h   | 23      | 7ff7c71948e0h : 7ff7c71948e9h   | 9       | corefunc/asin/uint16_g32u
00002840h   | 23      | 7ff7c7194900h : 7ff7c7194909h   | 9       | corefunc/asin/uint16_g32i
00002860h   | 23      | 7ff7c7194920h : 7ff7c7194929h   | 9       | corefunc/asin/uint16_g64u
00002880h   | 23      | 7ff7c7194940h : 7ff7c7194949h   | 9       | corefunc/asin/uint16_g64i
000028a0h   | 23      | 7ff7c7194960h : 7ff7c7194969h   | 9       | corefunc/asin/uint16_g32f
000028c0h   | 23      | 7ff7c7194980h : 7ff7c7194989h   | 9       | corefunc/asin/uint16_g64f
