Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
84        | 7ff7c8573500h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?f3e#f3e_(1u,1u,1u)                                                                      | bit f3e(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 41 23 c0 33 d1 0b c2 c3
85        | 7ff7c8573530h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?f3f#f3f_(1u,1u,1u)                                                                      | bit f3f(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 89 44 24 18 23 d1 8b c2 f7 d0 83 e0 01 c3
86        | 7ff7c8573560h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f40#f40_(1u,1u,1u)                                                                      | bit f40(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 23 c1 23 c2 c3
87        | 7ff7c8573590h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f41#f41_(1u,1u,1u)                                                                      | bit f41(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 33 d1 41 0b d0 8b c2 f7 d0 83 e0 01 c3
88        | 7ff7c85735c0h   | 16      | CTC_RET_SBB         | hex://logix/logic.ops?f42#f42_(1u,1u,1u)                                                                      | bit f42(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 33 c8 41 33 d0 8b c1 23 c2 c3
89        | 7ff7c85735e0h   | 26      | CTC_RET_Zx3         | hex://logix/logic.ops?f43#f43_(1u,1u,1u)                                                                      | bit f43(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 23 c1 41 8b c0 f7 d0 83 e0 01 f7 d2 83 e2 01 33 d1 23 c2 c3
90        | 7ff7c8573610h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?f44#f44_(1u,1u,1u)                                                                      | bit f44(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 89 4c 24 08 41 8b c0 f7 d0 83 e0 01 23 c2 c3
91        | 7ff7c8573640h   | 23      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?f45#f45_(1u,1u,1u)                                                                      | bit f45(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 f7 d1 83 e1 01 0b d1 23 c2 c3
92        | 7ff7c8573670h   | 21      | CTC_RET_Zx3         | hex://logix/logic.ops?f46#f46_(1u,1u,1u)                                                                      | bit f46(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 23 c8 8b c1 f7 d0 83 e0 01 41 33 d0 23 c2 c3
93        | 7ff7c85736a0h   | 30      | CTC_RET_Zx3         | hex://logix/logic.ops?f47#f47_(1u,1u,1u)                                                                      | bit f47(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 f7 d1 83 e1 01 23 c2 f7 d2 23 d1 0b c2 83 e0 01 c3
