Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
48        | 7ff7c8648e00h   | 187     | CTC_RET_ZED_SBB     | hex://root/Numeric?from#from_(FixedWidth~32u,NumericIndicator~16u)                        | 0f 1f 44 00 00 0f b7 c2 83 f8 66 0f 84 89 00 00 00 83 f8 69 74 0a 83 f8 75 74 42 e9 98 00 00 00 83 f9 10 77 0c 83 f9 08 74 13 83 f9 10 74 15 eb 28 83 f9 20 74 15 83 f9 40 74 17 eb 1c b8 08 00 02 80 eb 17 b8 10 00 08 80 eb 10 b8 20 00 20 80 eb 09 b8 40 00 80 80 eb 02 33 c0 eb 5d 83 f9 10 77 0c 83 f9 08 74 13 83 f9 10 74 15 eb 28 83 f9 20 74 15 83 f9 40 74 17 eb 1c b8 08 00 01 20 eb 17 b8 10 00 04 20 eb 10 b8 20 00 10 20 eb 09 b8 40 00 40 20 eb 02 33 c0 eb 20 83 f9 20 74 07 83 f9 40 74 09 eb 0e b8 20 00 00 42 eb 09 b8 40 00 00 44 eb 02 33 c0 eb 02 33 c0 c3
49        | 7ff7c8648ed0h   | 565     | CTC_RET_Zx3         | hex://root/Numeric?type#type_(NumericKind~32u)                                            | 57 56 48 83 ec 28 8b f1 81 fe 20 00 00 42 77 6c 81 fe 10 00 04 20 77 2f 81 fe 08 00 01 20 0f 84 b9 00 00 00 81 fe 10 00 04 20 0f 85 25 01 00 00 48 b9 38 87 72 c7 f7 7f 00 00 e8 e1 60 bc 5e 90 48 83 c4 28 5e 5f c3 81 fe 20 00 10 20 0f 84 b2 00 00 00 81 fe 40 00 40 20 0f 84 ce 00 00 00 81 fe 20 00 00 42 0f 85 ea 00 00 00 48 b9 58 af 72 c7 f7 7f 00 00 e8 a6 60 bc 5e eb c3 81 fe 08 00 02 80 77 29 81 fe 40 00 00 44 0f 84 b1 00 00 00 81 fe 08 00 02 80 0f 85 b9 00 00 00 48 b9 68 6f 72 c7 f7 7f 00 00 e8 75 60 bc 5e eb 92 81 fe 10 00 08 80 74 3c 81 fe 20 00 20 80 74 5c 81 fe 40 00 80 80 0f 85 8c 00 00 00 48 b9 a8 9e 72 c7 f7 7f 00 00 e8 48 60 bc 5e e9 62 ff ff ff 48 b9 58 77 72 c7 f7 7f 00 00 e8 34 60 bc 5e e9 4e ff ff ff 48 b9 48 7f 72 c7 f7 7f 00 00 e8 20 60 bc 5e e9 3a ff ff ff 48 b9 d8 96 72 c7 f7 7f 00 00 e8 0c 60 bc 5e e9 26 ff ff ff 48 b9 08 8f 72 c7 f7 7f 00 00 e8 f8 5f bc 5e e9 12 ff ff ff 48 b9 78 a6 72 c7 f7 7f 00 00 e8 e4 5f bc 5e e9 fe fe ff ff 48 b9 38 b8 72 c7 f7 7f 00 00 e8 d0 5f bc 5e e9 ea fe ff ff 48 b9 b8 70 97 c7 f7 7f 00 00 e8 7c dc c1 5e 48 8b f8 89 77 08 48 b9 48 02 99 c7 f7 7f 00 00 e8 67 dc c1 5e 48 8b f0 48 8b cf e8 2c bb 6b 4e 48 8b d0 48 8b ce e8 d1 08 13 ff 48 8b ce e8 99 28 b9 5e cc 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 48 b8 b2 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b c1 48 85 c0 74 11 48 ba 68 6f 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 5c 48 8b c1 48 85 c0 74 11 48 ba 48 7f 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 3e 48 8b c1 48 85 c0 74 11 48 ba 08 8f 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 20 48 85 c9 74 11 48 b8 a8 9e 72 c7 f7 7f 00 00 48 39 01 74 02 33 c9 48 85 c9 0f 95 c0 0f b6 c0 c3 b8 01 00 00 00 c3
50        | 7ff7c8649080h   | 133     | CTC_RET_Zx3         | hex://root/Numeric?signed#signed_(object)                                                 | 0f 1f 44 00 00 48 8b c1 48 85 c0 74 11 48 ba 68 6f 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 5c 48 8b c1 48 85 c0 74 11 48 ba 48 7f 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 3e 48 8b c1 48 85 c0 74 11 48 ba 08 8f 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 20 48 85 c9 74 11 48 b8 a8 9e 72 c7 f7 7f 00 00 48 39 01 74 02 33 c9 48 85 c9 0f 95 c0 0f b6 c0 c3 b8 01 00 00 00 c3
51        | 7ff7c8649120h   | 133     | CTC_RET_Zx3         | hex://root/Numeric?unsigned#unsigned_(object)                                             | 0f 1f 44 00 00 48 8b c1 48 85 c0 74 11 48 ba 58 77 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 5c 48 8b c1 48 85 c0 74 11 48 ba 38 87 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 3e 48 8b c1 48 85 c0 74 11 48 ba d8 96 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 20 48 85 c9 74 11 48 b8 78 a6 72 c7 f7 7f 00 00 48 39 01 74 02 33 c9 48 85 c9 0f 95 c0 0f b6 c0 c3 b8 01 00 00 00 c3
52        | 7ff7c86491c0h   | 73      | CTC_RET_Zx3         | hex://root/Numeric?floating#floating_(object)                                             | 0f 1f 44 00 00 48 8b c1 48 85 c0 74 11 48 ba 58 af 72 c7 f7 7f 00 00 48 39 10 74 02 33 c0 48 85 c0 75 20 48 85 c9 74 11 48 b8 38 b8 72 c7 f7 7f 00 00 48 39 01 74 02 33 c9 48 85 c9 0f 95 c0 0f b6 c0 c3 b8 01 00 00 00 c3
53        | 7ff7c8649220h   | 8       | CTC_RET_SBB         | hex://root/Numeric?int#int_(FixedWidth~32u)                                               | 0f 1f 44 00 00 8b c1 c3
54        | 7ff7c8649240h   | 0       | CTC_Zx7             | hex://root/Numeric?typeset#typeset_(NumericKind~32u)                                      |  
55        | 7ff7c86492d0h   | 0       | CTC_Zx7             | hex://root/Numeric?kindset#kindset_(NumericKind~32u)                                      |  
56        | 7ff7c8649360h   | 0       | CTC_Zx7             | hex://root/Numeric?is#is_(NumericKind~32u,NumericKind~32u)                                |  
57        | 7ff7c8649410h   | 14      | CTC_RET_Zx3         | hex://root/Numeric?is#is_(NumericKind~32u,NumericId~32u)                                  | 0f 1f 44 00 00 85 ca 0f 95 c0 0f b6 c0 c3
58        | 7ff7c8649430h   | 365     | CTC_RET_Zx3         | hex://root/Numeric?kind#kind_(string)                                                     | 57 56 53 48 83 ec 40 33 c0 48 89 44 24 38 48 89 44 24 28 48 89 44 24 30 8b 11 ba 02 00 00 00 e8 0c af 10 ff 48 8b f0 48 8b ce e8 a1 27 6b 4e 85 c0 0f 85 22 01 00 00 48 8b ce e8 d1 f1 ff ff 8b f8 48 b9 e8 93 9d c7 f7 7f 00 00 e8 30 d8 c1 5e 48 8b d8 48 b9 e8 93 9d c7 f7 7f 00 00 e8 5e 5b bc 5e 48 8b c8 66 89 7b 08 48 8b d3 e8 cf 70 10 ff 84 c0 0f 84 e0 00 00 00 85 ff 0f 84 d8 00 00 00 45 33 c0 44 89 44 24 38 44 8b 46 08 41 ff c8 48 8b ce 33 d2 e8 56 f2 6a 4e 48 85 c0 75 0b 33 c0 89 44 24 38 e9 af 00 00 00 48 8d 50 0c 8b 40 08 48 8d 4c 24 28 48 89 11 89 41 08 e8 ff 21 6c 4e 4c 8b c0 48 8d 4c 24 28 4c 8d 4c 24 38 ba 07 00 00 00 e8 90 03 3e ff 85 c0 0f 94 c1 0f b6 c9 85 c9 74 75 8b 74 24 38 48 b9 00 c6 9b c7 f7 7f 00 00 e8 89 d7 c1 5e 48 8b d8 48 b9 00 c6 9b c7 f7 7f 00 00 e8 b7 5a bc 5e 48 8b c8 89 73 08 48 8b d3 e8 29 70 10 ff 84 c0 74 3e 8b ce 8b d7 e8 ac f8 ff ff 8b f0 48 b9 b8 70 97 c7 f7 7f 00 00 e8 4b d7 c1 5e 48 8b f8 48 b9 b8 70 97 c7 f7 7f 00 00 e8 79 5a bc 5e 48 8b c8 89 77 08 48 8b d7 e8 eb 6f 10 ff 84 c0 75 0a 33 c0 48 83 c4 40 5b 5e 5f c3 8b c6 48 83 c4 40 5b 5e 5f c3
