Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
42        | 7ff7c865f7c0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](32i)                                                                             | ushort to<ushort>(int src)                                                                                    | 0f 1f 44 00 00 0f b7 c1 c3
43        | 7ff7c865f7e0h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](32i)                                                                             | short to<short>(int src)                                                                                      | 0f 1f 44 00 00 48 0f bf c1 c3
44        | 7ff7c865f800h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32u](32i)                                                                             | uint to<uint>(int src)                                                                                        | 0f 1f 44 00 00 8b c1 c3
45        | 7ff7c865f820h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32i](32i)                                                                             | int to<int>(int src)                                                                                          | 0f 1f 44 00 00 8b c1 c3
46        | 7ff7c865f840h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64u](32i)                                                                             | ulong to<ulong>(int src)                                                                                      | 0f 1f 44 00 00 48 63 c1 c3
47        | 7ff7c865f860h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64i](32i)                                                                             | long to<long>(int src)                                                                                        | 0f 1f 44 00 00 48 63 c1 c3
48        | 7ff7c865f880h   | 14      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](32i)                                                                             | float to<float>(int src)                                                                                      | c5 f8 77 66 90 c5 f8 57 c0 c5 fa 2a c1 c3
49        | 7ff7c865f8a0h   | 14      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](32i)                                                                             | double to<double>(int src)                                                                                    | c5 f8 77 66 90 c5 f8 57 c0 c5 fb 2a c1 c3
50        | 7ff7c865f8c0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](32u)                                                                              | byte to<byte>(uint src)                                                                                       | 0f 1f 44 00 00 0f b6 c1 c3
51        | 7ff7c865f8e0h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](32u)                                                                              | sbyte to<sbyte>(uint src)                                                                                     | 0f 1f 44 00 00 48 0f be c1 c3
52        | 7ff7c865f900h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](32u)                                                                             | ushort to<ushort>(uint src)                                                                                   | 0f 1f 44 00 00 0f b7 c1 c3
53        | 7ff7c865f920h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](32u)                                                                             | short to<short>(uint src)                                                                                     | 0f 1f 44 00 00 48 0f bf c1 c3
54        | 7ff7c865f940h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32u](32u)                                                                             | uint to<uint>(uint src)                                                                                       | 0f 1f 44 00 00 8b c1 c3
55        | 7ff7c865f960h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32i](32u)                                                                             | int to<int>(uint src)                                                                                         | 0f 1f 44 00 00 8b c1 c3
56        | 7ff7c865f980h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[64u](32u)                                                                             | ulong to<ulong>(uint src)                                                                                     | 0f 1f 44 00 00 8b c1 c3
57        | 7ff7c865f9a0h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[64i](32u)                                                                             | long to<long>(uint src)                                                                                       | 0f 1f 44 00 00 8b c1 c3
58        | 7ff7c865f9c0h   | 14      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](32u)                                                                             | float to<float>(uint src)                                                                                     | c5 f8 77 66 90 c5 f8 57 c0 c5 fa 2a c1 c3
