Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
256       | 7ff7c8280600h   | 107     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[8u](8u,8u,8u,8u~ref)                                                    | ref byte bitcopy<byte>(byte src, byte index, byte count, ref byte dst)                                        | 0f 1f 44 00 00 41 0f b6 01 0f b6 d2 44 8b d2 0f b6 c9 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 41 23 c0 0f b6 c0 41 8b ca d3 e2 0f b6 d2 0b c2 0f b6 c0 41 88 01 49 8b c1 c3
257       | 7ff7c8280680h   | 112     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[8i](8i,8u,8u,8i~ref)                                                    | ref sbyte bitcopy<sbyte>(sbyte src, byte index, byte count, ref sbyte dst)                                    | 0f 1f 44 00 00 49 0f be 01 0f b6 d2 44 8b d2 48 0f be c9 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 41 23 c0 48 0f be c0 41 8b ca d3 e2 48 0f be d2 0b c2 48 0f be c0 41 88 01 49 8b c1 c3
258       | 7ff7c8280710h   | 108     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[16u](16u,8u,8u,16u~ref)                                                 | ref ushort bitcopy<ushort>(ushort src, byte index, byte count, ref ushort dst)                                | 0f 1f 44 00 00 41 0f b7 01 0f b6 d2 44 8b d2 0f b7 c9 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 41 23 c0 0f b7 c0 41 8b ca d3 e2 0f b7 d2 0b c2 0f b7 c0 66 41 89 01 49 8b c1 c3
259       | 7ff7c8280790h   | 113     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[16i](16i,8u,8u,16i~ref)                                                 | ref short bitcopy<short>(short src, byte index, byte count, ref short dst)                                    | 0f 1f 44 00 00 49 0f bf 01 0f b6 d2 44 8b d2 48 0f bf c9 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f bf d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 41 23 c0 48 0f bf c0 41 8b ca d3 e2 48 0f bf d2 0b c2 48 0f bf c0 66 41 89 01 49 8b c1 c3
260       | 7ff7c8280820h   | 87      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[32u](32u,8u,8u,32u~ref)                                                 | ref uint bitcopy<uint>(uint src, byte index, byte count, ref uint dst)                                        | 0f 1f 44 00 00 41 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 f7 d0 41 23 c0 41 8b ca d3 e2 0b c2 41 89 01 49 8b c1 c3
261       | 7ff7c8280890h   | 87      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[32i](32i,8u,8u,32i~ref)                                                 | ref int bitcopy<int>(int src, byte index, byte count, ref int dst)                                            | 0f 1f 44 00 00 41 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 f7 d0 41 23 c0 41 8b ca d3 e2 0b c2 41 89 01 49 8b c1 c3
262       | 7ff7c8280900h   | 86      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[64u](64u,8u,8u,64u~ref)                                                 | ref ulong bitcopy<ulong>(ulong src, byte index, byte count, ref ulong dst)                                    | 0f 1f 44 00 00 49 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 e8 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 b8 f3 d0 41 83 e2 3f 41 8b ca 49 d3 e0 49 f7 d0 49 23 c0 41 8b ca 48 d3 e2 48 0b c2 49 89 01 49 8b c1 c3
263       | 7ff7c8280970h   | 86      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[64i](64i,8u,8u,64i~ref)                                                 | ref long bitcopy<long>(long src, byte index, byte count, ref long dst)                                        | 0f 1f 44 00 00 49 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 e8 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 b8 f3 d0 41 83 e2 3f 41 8b ca 49 d3 e0 49 f7 d0 49 23 c0 41 8b ca 48 d3 e2 48 0b c2 49 89 01 49 8b c1 c3
264       | 7ff7c82809e0h   | 101     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[8u](8u,8u,8u,8u,8u)                                                     | byte bitcopy<byte>(byte src, byte srcidx, byte dstidx, byte count, byte dst)                                  | 0f 1f 44 00 00 0f b6 c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 0f b6 c1 8b 4c 24 28 44 0f b6 c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 0f b6 d2 41 8b c8 d3 e0 0f b6 c0 0b c2 0f b6 c0 c3
265       | 7ff7c8280a60h   | 106     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[8i](8i,8u,8u,8u,8i)                                                     | sbyte bitcopy<sbyte>(sbyte src, byte srcidx, byte dstidx, byte count, sbyte dst)                              | 0f 1f 44 00 00 48 0f be c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 48 0f be c1 8b 4c 24 28 4c 0f be c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 48 0f be d2 41 8b c8 d3 e0 48 0f be c0 0b c2 48 0f be c0 c3
