Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
35        | 7ff7c83faba0h   | 453     | CTC_INTRx2          | hex://gmath/fmath?fcmp#fcmp_(32f,32f,FpCmpMode~8u)                                                            | bool fcmp(float x, float y, FpCmpMode:byte mode)                                                              | 56 48 83 ec 20 c5 f8 77 41 0f b6 c0 83 f8 1e 0f 87 8e 01 00 00 8b c0 48 8d 0d c2 01 00 00 8b 0c 81 48 8d 15 e0 ff ff ff 48 03 ca ff e1 c5 f8 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 5c 01 00 00 c5 f8 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 48 01 00 00 c5 f8 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 34 01 00 00 c5 f8 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 20 01 00 00 c5 f8 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 0c 01 00 00 c5 f8 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 f8 00 00 00 c5 f8 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 e4 00 00 00 c5 f8 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 d0 00 00 00 c5 f8 2e c8 0f 97 c0 0f b6 c0 e9 c1 00 00 00 c5 f8 2e c8 0f 97 c0 0f b6 c0 e9 b2 00 00 00 c5 f8 2e c1 0f 97 c0 0f b6 c0 e9 a3 00 00 00 c5 f8 2e c1 0f 97 c0 0f b6 c0 e9 94 00 00 00 c5 f8 2e c8 0f 93 c0 0f b6 c0 e9 85 00 00 00 c5 f8 2e c8 0f 93 c0 0f b6 c0 e9 76 00 00 00 c5 f8 2e c1 0f 93 c0 0f b6 c0 eb 6a c5 f8 2e c1 0f 93 c0 0f b6 c0 eb 5e c5 f8 2e c1 0f 92 c0 0f b6 c0 eb 52 c5 f8 2e c1 0f 92 c0 0f b6 c0 eb 46 c5 f8 2e c1 0f 96 c0 0f b6 c0 eb 3a c5 f8 2e c1 0f 96 c0 0f b6 c0 eb 2e c5 f8 2e c8 0f 92 c0 0f b6 c0 eb 22 c5 f8 2e c8 0f 92 c0 0f b6 c0 eb 16 c5 f8 2e c8 0f 96 c0 0f b6 c0 eb 0a c5 f8 2e c8 0f 96 c0 0f b6 c0 48 83 c4 20 5e c3 48 b9 a0 00 97 c7 f7 7f 00 00 e8 5e bf e6 5e 48 8b f0 48 8b ce e8 ab ef 35 ff 48 8b ce e8 9b 0b de 5e
36        | 7ff7c83fae10h   | 453     | CTC_INTRx2          | hex://gmath/fmath?fcmp#fcmp_(64f,64f,FpCmpMode~8u)                                                            | bool fcmp(double x, double y, FpCmpMode:byte mode)                                                            | 56 48 83 ec 20 c5 f8 77 41 0f b6 c0 83 f8 1e 0f 87 8e 01 00 00 8b c0 48 8d 0d c2 01 00 00 8b 0c 81 48 8d 15 e0 ff ff ff 48 03 ca ff e1 c5 f9 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 5c 01 00 00 c5 f9 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 48 01 00 00 c5 f9 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 34 01 00 00 c5 f9 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 e9 20 01 00 00 c5 f9 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 0c 01 00 00 c5 f9 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 f8 00 00 00 c5 f9 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 e4 00 00 00 c5 f9 2e c1 0f 9a c0 7a 03 0f 95 c0 0f b6 c0 e9 d0 00 00 00 c5 f9 2e c8 0f 97 c0 0f b6 c0 e9 c1 00 00 00 c5 f9 2e c8 0f 97 c0 0f b6 c0 e9 b2 00 00 00 c5 f9 2e c1 0f 97 c0 0f b6 c0 e9 a3 00 00 00 c5 f9 2e c1 0f 97 c0 0f b6 c0 e9 94 00 00 00 c5 f9 2e c8 0f 93 c0 0f b6 c0 e9 85 00 00 00 c5 f9 2e c8 0f 93 c0 0f b6 c0 e9 76 00 00 00 c5 f9 2e c1 0f 93 c0 0f b6 c0 eb 6a c5 f9 2e c1 0f 93 c0 0f b6 c0 eb 5e c5 f9 2e c1 0f 92 c0 0f b6 c0 eb 52 c5 f9 2e c1 0f 92 c0 0f b6 c0 eb 46 c5 f9 2e c1 0f 96 c0 0f b6 c0 eb 3a c5 f9 2e c1 0f 96 c0 0f b6 c0 eb 2e c5 f9 2e c8 0f 92 c0 0f b6 c0 eb 22 c5 f9 2e c8 0f 92 c0 0f b6 c0 eb 16 c5 f9 2e c8 0f 96 c0 0f b6 c0 eb 0a c5 f9 2e c8 0f 96 c0 0f b6 c0 48 83 c4 20 5e c3 48 b9 a0 00 97 c7 f7 7f 00 00 e8 ee bc e6 5e 48 8b f0 48 8b ce e8 3b ed 35 ff 48 8b ce e8 2b 09 de 5e
37        | 7ff7c83fb080h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?exp#exp_(32f)                                                                               | float exp(float pow)                                                                                          | c5 f8 77 66 90 48 b8 70 8c 4b 27 f8 7f 00 00 48 ff e0
38        | 7ff7c83fb0b0h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?exp#exp_(64f)                                                                               | double exp(double pow)                                                                                        | c5 f8 77 66 90 48 b8 60 8e 4b 27 f8 7f 00 00 48 ff e0
39        | 7ff7c83fb0e0h   | 167     | CTC_INTRx2          | hex://gmath/fmath?gcd#gcd_(32f,32f)                                                                           | float gcd(float a, float b)                                                                                   | 48 83 ec 68 c5 f8 77 c5 f8 29 74 24 50 c5 f8 29 7c 24 40 33 c0 48 89 44 24 38 48 89 44 24 28 c5 fa 11 44 24 30 8b 44 24 30 89 44 24 38 48 8d 44 24 38 81 20 ff ff ff 7f c5 fa 10 44 24 38 c5 fa 11 4c 24 20 8b 44 24 20 89 44 24 28 48 8d 44 24 28 81 20 ff ff ff 7f c5 fa 10 74 24 28 c5 f0 57 c9 c5 f8 2e f1 7a 02 74 38 c5 f8 28 ce e8 0e 65 f9 5e c5 f8 28 f8 c5 f8 57 c0 c5 f8 2e f8 7a 17 75 15 c5 f8 28 c6 c5 f8 28 74 24 50 c5 f8 28 7c 24 40 48 83 c4 68 c3 c5 f8 28 c6 c5 f8 28 f7 eb c8 c5 f8 28 f0 eb db
40        | 7ff7c83fb1c0h   | 175     | CTC_INTRx2          | hex://gmath/fmath?gcd#gcd_(64f,64f)                                                                           | double gcd(double a, double b)                                                                                | 48 83 ec 68 c5 f8 77 c5 f8 29 74 24 50 c5 f8 29 7c 24 40 33 c0 48 89 44 24 38 48 89 44 24 28 c5 fb 11 44 24 30 48 8b 44 24 30 48 89 44 24 38 48 8d 44 24 38 48 ba ff ff ff ff ff ff ff 7f 48 21 10 c5 fb 10 44 24 38 c5 fb 11 4c 24 20 48 8b 44 24 20 48 89 44 24 28 48 8d 44 24 28 48 21 10 c5 fb 10 74 24 28 c5 f0 57 c9 c5 f9 2e f1 7a 02 74 38 c5 f8 28 ce e8 96 63 f9 5e c5 f8 28 f8 c5 f8 57 c0 c5 f9 2e f8 7a 17 75 15 c5 f8 28 c6 c5 f8 28 74 24 50 c5 f8 28 7c 24 40 48 83 c4 68 c3 c5 f8 28 c6 c5 f8 28 f7 eb c8 c5 f8 28 f0 eb db
41        | 7ff7c83fb2a0h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?log2#log2_(32f)                                                                             | float log2(float src)                                                                                         | c5 f8 77 66 90 48 b8 f0 8c 4b 27 f8 7f 00 00 48 ff e0
42        | 7ff7c83fb2d0h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?log2#log2_(64f)                                                                             | double log2(double src)                                                                                       | c5 f8 77 66 90 48 b8 b0 8e 4b 27 f8 7f 00 00 48 ff e0
43        | 7ff7c83fb300h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?ln#ln_(32f)                                                                                 | float ln(float src)                                                                                           | c5 f8 77 66 90 48 b8 00 8d 4b 27 f8 7f 00 00 48 ff e0
44        | 7ff7c83fb330h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?ln#ln_(64f)                                                                                 | double ln(double src)                                                                                         | c5 f8 77 66 90 48 b8 c0 8e 4b 27 f8 7f 00 00 48 ff e0
45        | 7ff7c83fb360h   | 50      | CTC_RET_INTR        | hex://gmath/fmath?log#log_(32f)                                                                               | float log(float src, Nullable<float> b)                                                                       | 48 83 ec 28 c5 f8 77 48 89 54 24 38 48 8d 44 24 38 0f b6 10 c5 fa 10 48 04 84 d2 75 0a c5 fa 10 0d 13 00 00 00 eb 00 e8 8c e1 ff ff 90 48 83 c4 28 c3
46        | 7ff7c83fb3b0h   | 40      | CTC_RET_INTR        | hex://gmath/fmath?log#log_(64f)                                                                               | double log(double src, Nullable<double> b)                                                                    | 48 83 ec 28 c5 f8 77 0f b6 02 c5 fb 10 4a 08 84 c0 75 0a c5 fb 10 0d 15 00 00 00 eb 00 e8 0e 6b 60 ff 90 48 83 c4 28 c3
47        | 7ff7c83fb400h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?pow#pow_(32f,32f)                                                                           | float pow(float src, float exp)                                                                               | c5 f8 77 66 90 48 b8 20 8d 4b 27 f8 7f 00 00 48 ff e0
48        | 7ff7c83fb430h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?pow#pow_(64f,64f)                                                                           | double pow(double src, double exp)                                                                            | c5 f8 77 66 90 48 b8 e0 8e 4b 27 f8 7f 00 00 48 ff e0
49        | 7ff7c83fb460h   | 159     | CTC_RET_INTR        | hex://gmath/fmath?relerr#relerr_(32f,32f)                                                                     | float relerr(float lhs, float rhs)                                                                            | 48 83 ec 58 c5 f8 77 c5 f8 29 74 24 40 c5 f8 29 7c 24 30 c5 fa 11 44 24 60 c5 ca 5a f0 c5 c2 5a f9 c5 f9 2e f7 73 0f c5 c3 5c fe c5 f8 28 c7 e8 ac 24 f9 5e eb 0d c5 cb 5c f7 c5 f8 28 c6 e8 9d 24 f9 5e c5 f8 57 c0 c4 e1 fb 2a c0 48 85 c0 7d 08 c5 fb 58 05 5f 00 00 00 c5 fb 5a c0 c5 fa 5e 44 24 60 c5 fa 11 44 24 2c 8b 44 24 2c 25 ff ff ff 7f 3d 00 00 80 7f 7f 11 c5 f8 28 74 24 40 c5 f8 28 7c 24 30 48 83 c4 58 c3 c5 f8 57 c0 c5 f8 28 74 24 40 c5 f8 28 7c 24 30 48 83 c4 58 c3
50        | 7ff7c83fb540h   | 142     | CTC_RET_INTR        | hex://gmath/fmath?relerr#relerr_(64f,64f)                                                                     | double relerr(double lhs, double rhs)                                                                         | 48 83 ec 48 c5 f8 77 c5 f8 29 74 24 30 c5 f8 28 f0 c5 f9 2e f1 73 0f c5 f8 28 c1 c5 fb 5c c6 e8 dc 23 f9 5e eb 0d c5 f8 28 c6 c5 fb 5c c1 e8 cd 23 f9 5e c5 f8 57 c0 c4 e1 fb 2a c0 48 85 c0 7d 08 c5 fb 58 05 57 00 00 00 c5 fb 5e c6 c5 fb 11 44 24 28 48 8b 44 24 28 48 ba ff ff ff ff ff ff ff 7f 48 23 c2 48 ba 00 00 00 00 00 00 f0 7f 48 3b c2 7f 0b c5 f8 28 74 24 30 48 83 c4 48 c3 c5 f8 57 c0 c5 f8 28 74 24 30 48 83 c4 48 c3
